Система,рабоч.,служ.,жен. и дет.
1-й системы,5369,245,701
2-й системы,5342,376,511
3-й системы,542,46,78
4-й системы,1089,67,116
5-й системы,1290,50,109
6-й системы,120,5,5
Всего:,13752,789,1520
