НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ,Число учебных заведений,Число учащихся м.,Число учащихся ж.
Мужская классическая гимназия,1,176,—
Мужская шестиклассная прогимназия в г. Енисейске,—,—,—
Женские прогимназии,1,—,163
Учительская семинария,1,41,—
Состоящее при ней училище,1,26,—
"Уездные училища с подготовительными при них классами, приходские 2-классные и городские начальные училища",4,283,11
Детский приют,1,1,97
Духовное училище,1,107,—
Народные школы пр
